CourseName,University,DifficultyLevel,CourseRating,CourseURL,CourseDescription,Skills
Retrieve Data using Single-Table SQL Queries,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/single-table-sql-queries,"In this course you�ll learn how to effectively retrieve data from a relational database table using the SQL language.   We all know that most computer systems rely on at least one database to store data. Your tax information is stored in the database used by the Internal Revenue Service. Your phone stores your contacts�   names, addresses, email addresses, and phone numbers in a database. If you shop online, you�re viewing photos, descriptions, and prices of products that are stored in a database. Database designers go to great lengths to design databases so that the data can be stored securely and in an organized format. It�s important to note that the main reason they go to all that work is so that we can get the data back out again when we need it! That�s called �data retrieval�.   Data is retrieved or read from a relational database by using a language called SQL to query (or question) the database. SQL is referred to as �the language of relational databases�. It can be used by itself or embedded in programs to retrieve data. Once the data is retrieved, it can be displayed on a web page or PC application, or even printed on paper.   You�ll be practicing writing SQL queries using SQLiteStudio.   Next time you go online and look up the daily special at your favorite restaurant, you can think about the fact that it�s likely that an SQL query was used behind the scenes to fetch that data and pop it up on your screen. By the end of this course, you�ll even have a pretty good idea what the query might have looked like!  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Data Analysis  select (sql)  database management systems  online shopping  table (database)  data retrieval  Databases  web page  numbers (spreadsheet)  SQL information-technology data-management
Python Programming Essentials,Rice University,Beginner,4.8,https://www.coursera.org/learn/python-programming,"This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs. We will cover expressions, variables, functions, logic, and conditionals, which are foundational concepts in computer programming. We will also teach you how to use Python modules, which enable you to benefit from the vast array of functionality that is already a part of the Python language. These concepts and skills will help you to begin to think like a computer programmer and to understand how to go about writing Python programs.  By the end of the course, you will be able to write short Python programs that are able to accomplish real, practical tasks. This course is the foundation for building expertise in Python programming. As the first course in a specialization, it provides the necessary building blocks for you to succeed at learning to write more complex Python programs.  This course uses Python 3.  While many Python programs continue to use Python 2, Python 3 is the future of the Python programming language. This first course will use a Python 3 version of the CodeSkulptor development environment, which is specifically designed to help beginning programmers learn quickly.  CodeSkulptor runs within any modern web browser and does not require you to install any software, allowing you to start writing and running small programs immediately.  In the later courses in this specialization,  we will help you to move to more sophisticated desktop development environments.",semantics  Python Programming  coding conventions  codeskulptor  Problem Solving  syntax  Computer Programming  programming style  python syntax and semantics  euler's totient function computer-science software-development
Python Tricks and Hacks for Productivity,Coursera Project Network,Advanced,4.1,https://www.coursera.org/learn/python-hacks,"By the end of this project, you are going to be an more complete Python user, and will have an better grasp of several techniques and tips which increases coding speed and conciseness. This will be useful for anyone who uses Python regularly, including data scientists, software engineers, technicians and hobbyists.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Computer Programming  Transpose  concision  Python Programming  Software Engineering  grasp  project  Operations Management  progress bar  dict computer-science software-development
Mastering SQL Joins,Coursera Project Network,Advanced,4,https://www.coursera.org/learn/mastering-sql-joins,"In this 2-hour long project-based course, you will understand how to use SQL joins like INNER JOIN, LEFT JOIN, and RIGHT JOIN to get a desired result set. In addition, you will learn how to use SQL Joins with the WHERE clause and with aggregate functions. By extension, you will learn how to join more than two tables in the database.  Note: You do not need to be a data administrator or data analyst expert to be successful in this guided project, just you have to be familiar with querying databases using SQL SELECT statement to get the most of this project. If you are not familiar with SQL and want to learn the basics, start with my previous guided projects titled �Performing Data definition and Manipulation in SQL"", �Querying Databases using SQL SELECT statement� and �Performing Data Aggregation using SQL Aggregate Functions�",aggregate function  project  employment  sorting  more than two  modulo operation  Data Analysis  euler's totient function  project mine  ascendency data-science data-analysis
Create a Database with the Modeling Tool in MySQL Workbench,Coursera Project Network,Intermediate,4.7,https://www.coursera.org/learn/create-database-with-modeling-tool-mysql-workbench,"In this course you will use the Modeling and Design Tool in MySQL Workbench to design and create a multiple-table relational database. As a DBMS (database management system), MySQL is used by many organizations for managing a variety of types and sizes of databases. MySQL Workbench acts as an integrated development environment allowing users to work with relational databases using a visual user interface rather than the command line.  Hands-on activities include using the Modeling and Design Tool to draw a database design diagram, generating the database from that diagram, and then using MySQL Workbench features to load data into the database tables.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Databases  java annotation  integrated development environments  mysql  database management systems  user interface  mysql workbench  table (database)  relational database  Database Design information-technology data-management
Control physics with C# in Unity,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/controlling-physics-c-sharp-unity,"In this two-hour-long, project-based course, you will be introduced to basic coding principles for controlling Physics in Unity. This project covers moving objects by applying various types of forces and creating new behavior for objects when idle, when clicked, and when they collide with other objects.  The guided project will familiarize you with the following Physics-based Unity components:  - Rigidbody  - Physic Material  - Force  - Torque  - Explosions",c++  Computer Programming  c sharp (programming language)  video game development  language  Cartogram  physics  animation software  Civil Engineering  Electrical Engineering computer-science software-development
Create Relational Database Tables Using SQLiteStudio,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/create-relational-database-table-sqlitestudio,"In this project-based course, you will learn how to use the SQLiteStudio database management system to create a relational database, add tables to the database, and populate the tables.    Data is at the heart of all computing practices and plays an important role in our business and personal lives. Data is manipulated by programs, displayed on web browsers, transferred from location to location by networking systems, and used for business and personal decision making. Organizing, storing and safeguarding data in a database is the main purpose of database management software. Since data is such a large part of your life--whether used for your mobile phone address list or your medical record at your doctor�s office--wouldn�t it be great to know a little more about how a database works? By the end of this project, you will have a new appreciation for the importance of data and how it�s organized in a database.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",database management systems  Databases  web browsers  BlockChain  relational database  sqlite  web  Average  SQL  table (database) information-technology data-management
"Learn to Teach Java:   Boolean Expressions, If Statements, and Iteration",University of California San Diego,Advanced,Not Calibrated,https://www.coursera.org/learn/teach-java-boolean-expressions-if-statements-iteration,"Learn to program with Boolean Expressions, If Statement, and For and While Loops in Java, and prepare to teach others using the free, online interactive CS Awesome textbook.  In this course for teachers we'll guide you both in learning Java concepts and skills but also in how to effectively teach those to your students.  This course will support you in teaching the Advanced Placement Computer Science A course or a similar introductory university-level programming course.  We'll cover the critical Java concepts of selection (if statements) and iteration (loops), as covered in the APCS A Units 3 and 4.  Each topic will begin by relating Java to block-based programming languages and then provide video overviews of CS Awesome content along with additional materials to supplement learning for your students.    You'll engage with additional materials to support your teaching including ""deep dive"" classroom discussion questions, assessment overviews, code tracing and problem solving skills for your students, including preparation for free response coding questions.",specification (technical standard)  iteration  code segment  test case  modulo operation  modeling  market segmentation  for loop  boolean expression  method (computer programming) social-sciences education
Exception Handling in Python,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/exception-handling-in-python,"In this 1-hour long project-based course, you will learn the differences between an exception and syntax errors, how to raise an exception, what an AssertionError exception is within Python, how to use the try, except and else clause and how to use the finally clause and any clean-up actions. By the end of this project, you will have an understanding of error and exception handling in python.  Once you have a beginner's knowledge of python programming and start coding you may find that something disrupts the normal flow of the program you have built. You may find yourself with errors in your code. This course will provide students with the knowledge behind exception handling in python and show how to write high-quality code to ensure that if your python scripts encounter a situation that it cannot cope with that the right procedures are in place to provide meaningful information and deal with those errors. Thus, ensuring that your code is efficient and robust which is an essential aspect of writing high-quality code. This project will take students through a number of examples demonstrating several of the most useful python exceptions. You will gain an understanding of exception handling in python from the in-depth examples provided.",Python Programming  exception handling  relative change and difference  approximation error  ordered pair  compiler  Type I And Type Ii Errors  Computer Programming  project  syntax computer-science software-development
Managing Big Data with MySQL,Duke University,Beginner,4.6,https://www.coursera.org/learn/analytics-mysql,"This course is an introduction to how to use relational databases in business analysis.  You will learn how relational databases work, and how to use entity-relationship diagrams to display the structure of the data held within them.  This knowledge will help you understand how data needs to be collected in business contexts, and help you identify features you want to consider if you are involved in implementing new data collection efforts.  You will also learn how to execute the most useful query and table aggregation statements for business analysts, and practice using them with real databases. No more waiting 48 hours for someone else in the company to provide data to you � you will be able to get the data by yourself!  By the end of this course, you will have a clear understanding of how relational databases work, and have a portfolio of queries you can show potential employers. Businesses are collecting increasing amounts of information with the hope that data will yield novel insights into how to improve businesses. Analysts that understand how to access this data � this means you! � will have a strong competitive advantage in this data-smitten business world.",SQL  Leadership and Management  analysis  relational database  Databases  select (sql)  Big Data  language  Data Analysis  mysql data-science data-analysis
Implementing SOLID Principles in C# with .NET Core,Coursera Project Network,Intermediate,Not Calibrated,https://www.coursera.org/learn/solid-principles-in-c-sharp,"In this 1-hour long project-based course, you will learn how to   - Review an initial monolith .NET Core console application written in C# - Implement the Single Responsibility principle by breaking the single class in smaller classes with single responsibilities - Implement the Open Closed Principle by breaking rides into base classes and children classes for types of rides - Implement the Liskov Substitution Principle by implementing less restrictive rules on the input parameters by the parent ride class and more restrictive rules to the input parameters by the child ride class - Implement the Interface Segregation Principle by adding multiple interfaces to the ride class - Implement the Dependency Inversion Principle by Injecting ride interfaces into the ThemePark class  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",recursively enumerable set  child  abstract type  c sharp (programming language)  java annotation  principle  solid (object-oriented design)  console applications  inheritance (object-oriented programming)  Workshops computer-science software-development
Web Application Development with JavaScript and MongoDB,University of London,Advanced,4.5,https://www.coursera.org/learn/web-application-development,"In this course, you will develop more Advanced web application programming skills. You will learn how to control data read and write access using methods, publish and subscribe. You will learn how to access your database and server shells using command line tools. You will use the SimpleSchema system to validate data and generate input forms automatically. You will see a complete collaborative code editing environment, TextCircle, being built from scratch.   At the end of this course, you will be able to: - use Meteor methods to control data write access - use publish and subscribe to control data read access - install and use Advanced Meteor packages - add user accounts to your applications - implement complex MongoDB filters - use the MongoDB and meteor server shells - define data validations schemas using SimpleSchema - generate data input forms automatically using SimpleSchema  In this course, you will complete: 2 programming assignments taking ~4 hours each to complete 4 quizzes, each taking ~20 minutes to complete multiple practice quizzes, each taking ~5 minutes to complete  Participation in or completion of this online course will not confer academic credit for University of London programmes",meteor  html  mongodb  Databases  Web Development  web  file system permissions  web application  user (computing)  Javascript computer-science software-development
